household,lat,long,Strain,wt90,wt120,wt150,wt180,sex,country
EAA2029,8.97532666666667,38.670985,Horro,309.52380952381,586.666666666667,1066.66666666667,1540.22988505747,Female,Ethiopia
EAA2030,8.97781,38.6654416666667,Koekoek,696.172248803828,1003.63636363636,1085.45454545455,1167.27272727273,Male,Ethiopia
EAA2030,8.97781,38.6654416666667,Koekoek,703.007518796992,997.142857142857,1246.79802955665,1568.83116883117,Female,Ethiopia
EAA2031,8.97540833333333,38.6708266666667,Horro,332.234432234432,678,900,1266.00985221675,Female,Ethiopia
EAA2031,8.97540833333333,38.6708266666667,Horro,297.619047619048,552,840,1240,Male,Ethiopia
EAA2032,8.97440333333333,38.670865,Kuroiler,704.888337468983,-2711.53846153846,634.615384615385,1643.42105263158,Female,Ethiopia
EAA2034,8.97419,38.6703683333333,Kuroiler,3166.66666666667,2541.66666666667,1916.66666666667,1291.66666666667,Female,Ethiopia
EAA2035,8.97642,38.667835,Koekoek,750,1084.61538461538,1287.53315649867,1588.46153846154,Female,Ethiopia
EAA2035,8.97642,38.667835,Koekoek,747.80701754386,1038.33333333333,1171.66666666667,1305,Male,Ethiopia
EAA2037,8.97441166666667,38.6717866666667,Horro,323.270846800259,590,900,1000,Female,Ethiopia
EAA2038,8.97462666666667,38.67093,Kuroiler,4638.88888888889,2972.22222222222,1305.55555555556,1000,Female,Ethiopia
EAA2039,8.97410666666667,38.6712066666667,Kuroiler,333.463497453311,-4244.51754385965,-132.675438596491,1436.6028708134,Female,Ethiopia
EAA2040,8.97465,38.67162,Kuroiler,1259.4696969697,1202.65151515151,1145.83333333333,1000,Female,Ethiopia
EAA2041,9.00483666666667,38.6669,S-RIR ,701.333333333333,889.393939393939,857.471264367816,1155.55555555556,Female,Ethiopia
EAA2041,9.00483666666667,38.6669,S-RIR ,754.358974358974,1424.15384615385,1358,1291.84615384615,Male,Ethiopia
EAA2042,9.00305,38.6656483333333,Koekoek,551.587301587302,1527.77777777778,1801.19047619048,1582.93650793651,Female,Ethiopia
EAA2048,9.000235,38.669135,S-RIR ,847.115384615385,1243.07692307692,1520,1796.92307692308,Male,Ethiopia
EAA2050,9.004655,38.666,S-RIR ,644.786324786325,1142.42105263158,1353.10344827586,1606.66666666667,Female,Ethiopia
EAA2050,9.004655,38.666,S-RIR ,810,1294.66666666667,1441.33333333333,1588,Male,Ethiopia
EAA2052,9.003415,38.665135,Koekoek,600,1266.66666666667,1567.03703703704,1788.03418803419,Female,Ethiopia
EAA2056,9.00387,38.6676883333333,Koekoek,657.142857142857,1300,1532.14285714286,1773.21428571429,Female,Ethiopia
EAA2057,8.99893333333333,38.6663566666667,S-RIR ,911.075,1355,2105,2855,Male,Ethiopia
EAA2057,8.99893333333333,38.6663566666667,S-RIR ,800,1054.44444444444,1150.95785440613,1400,Female,Ethiopia
EAA2065,9.003175,38.6665666666667,S-RIR ,840.512820512821,1435.5,2290.5,3145.5,Male,Ethiopia
EAA2065,9.003175,38.6665666666667,S-RIR ,746.666666666667,1000.41666666667,1519.8275862069,1762.5,Female,Ethiopia
EAA2066,8.99982166666667,38.668935,S-RIR ,660,918.333333333333,1101.91570881226,1244.44444444444,Female,Ethiopia
EAA2066,8.99982166666667,38.668935,S-RIR ,785,1190,1490,1790,Male,Ethiopia
EAA2077,9.00443166666667,38.6685433333333,Koekoek,579.285714285714,1415,1720.89285714286,1570.89285714286,Female,Ethiopia
EAA2078,9.00423166666667,38.6666166666667,Koekoek,637.053571428571,1346.875,1687.05357142857,1479.46428571429,Female,Ethiopia
EAA2079,9.00345166666667,38.66518,Koekoek,624.702380952381,1347.91666666667,1653.57142857143,1813.54166666667,Female,Ethiopia
EAA2080,9.00317333333333,38.6697083333333,Koekoek,586.111111111111,1336.11111111111,1584.12698412698,1702.04081632653,Female,Ethiopia
EAA2081,9.01919833333333,38.665535,Koekoek,711.111111111111,988.571428571429,1361.19047619048,1765.47619047619,Female,Ethiopia
EAA2081,9.01919833333333,38.665535,Koekoek,766.666666666667,1096.1038961039,1453.67965367965,1505.62770562771,Male,Ethiopia
EAA2082,9.00963333333333,38.6651283333333,S-RIR ,882.517482517482,1263.88888888889,1491.66666666667,1836.20414673046,Female,Ethiopia
EAA2082,9.00963333333333,38.6651283333333,S-RIR ,848.484848484848,1631.11111111111,2060,2488.88888888889,Male,Ethiopia
EAA2083,9.01879666666667,38.6663766666667,S-RIR ,742.857142857143,1269.19959473151,1464.74164133739,2242.57507198684,Female,Ethiopia
EAA2083,9.01879666666667,38.6663766666667,S-RIR ,1017.94871794872,1233.33333333333,1933.33333333333,2633.33333333333,Male,Ethiopia
EAA2084,9.01873166666667,38.6660783333333,Koekoek,927.5,1002.5,1036.42857142857,2016.19047619048,Female,Ethiopia
EAA2084,9.01873166666667,38.6660783333333,Koekoek,973.701298701299,1061.36363636364,1149.02597402597,1236.68831168831,Male,Ethiopia
EAA2085,9.01634166666667,38.6671966666667,Horro,330.285714285714,353.142857142857,761.739130434783,1605.12820512821,Female,Ethiopia
EAA2085,9.01634166666667,38.6671966666667,Horro,325.714285714286,382.857142857143,947.826086956522,1730.4347826087,Male,Ethiopia
EAA2086,9.01819,38.666655,Horro,633.333333333333,775.108225108225,966.666666666667,1826.28205128205,Female,Ethiopia
EAA2086,9.01819,38.666655,Horro,600,1113.63636363636,1500,1886.36363636364,Male,Ethiopia
EAA2087,9.01549666666667,38.66664,Horro,328.571428571429,752.482269503546,1190.78014184397,1629.0780141844,Male,Ethiopia
